Track Name,Artist,Value,TopPos,TopMonth,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
BURN IT DOWN,Linkin Park,29,72,7,2017,0.585,0.972,9,-4.45,0,0.0534,0.0143,0,0.0707,0.585,110.006,230253,4
Leave Out All The Rest,Linkin Park,22,79,7,2017,0.509,0.629,0,-6.434,1,0.0335,0.209,1.99e-06,0.369,0.237,80.012,209307,4
Breaking The Habit,Linkin Park,18,83,7,2017,0.579,0.849,4,-5.218,0,0.0303,0.108,0,0.0909,0.581,100.021,196907,4
Talking to Myself,Linkin Park,15,86,7,2017,0.593,0.712,2,-6.325,0,0.0286,0.00184,0,0.128,0.473,124.013,231307,4
13 Beaches,Lana Del Rey,13,88,7,2017,0.347,0.401,7,-9.13,1,0.0376,0.554,0.0901,0.197,0.239,143.896,295569,4
Nobody Can Save Me,Linkin Park,10,91,7,2017,0.645,0.688,11,-4.749,1,0.0341,0.0107,0,0.186,0.433,139.957,225547,4
Lust For Life (with The Weeknd),Lana Del Rey,11,92,7,2017,0.504,0.655,0,-8.644,0,0.0542,0.604,0.00193,0.364,0.262,99.982,264066,4
Feel It Still,Portugal. The Man,9353,100,7,2017,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4
Love Galore (feat. Travis Scott),SZA,1659,100,10,2017,0.795,0.594,0,-6.2,1,0.0747,0.111,0,0.162,0.409,135.002,275080,4
Would You Ever,Skrillex,2011,54,8,2017,0.653,0.91,10,-3.36,1,0.0566,0.0079,0,0.318,0.0921,126.047,234286,4
Boys,Charli XCX,14,87,7,2017,0.867,0.545,2,-5.192,1,0.0625,0.0646,0.000289,0.0505,0.525,139.943,162586,4
Sua Cara (feat. Anitta & Pabllo Vittar),Major Lazer,25,88,8,2017,0.789,0.767,9,-4.612,0,0.0715,0.00812,0.000348,0.101,0.637,99.957,167311,4
Sua cara (feat. Anitta & Pabllo Vittar),Major Lazer,41,90,8,2017,0.789,0.767,9,-4.612,0,0.0715,0.00812,0.000348,0.101,0.637,99.957,167311,4
OMG,Camila Cabello,462,100,9,2017,0.655,0.576,5,-6.735,0,0.0536,0.0295,0.115,0.132,0.167,139.953,228893,4
Havana,Camila Cabello,13367,10,8,2017,0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,216897,4
Perplexing Pegasus,Rae Sremmurd,91,83,8,2017,0.897,0.448,1,-8.874,1,0.0766,0.000725,1.17e-05,0.365,0.316,145.971,204787,4
Bodak Yellow,Cardi B,8205,15,9,2017,0.929,0.723,11,-5.792,0,0.109,0.0672,0,0.346,0.458,125.022,223962,4
Mayores,Becky G,7456,100,8,2017,0.743,0.855,5,-3.976,0,0.0436,0.141,0.0045,0.099,0.871,96.989,202453,4
Summer Air,ItaloBrothers,49,91,8,2017,0.755,0.751,8,-4.034,1,0.0748,0.0635,0,0.0812,0.491,102.002,183587,4
Without You (feat. Sandro Cavazza),Avicii,6670,20,8,2017,0.652,0.855,2,-4.832,1,0.0441,0.00179,0,0.0404,0.279,134.009,181673,4
Lonely Together (feat. Rita Ora),Avicii,9078,19,11,2017,0.655,0.666,5,-5.309,1,0.0612,0.134,2.12e-05,0.0683,0.272,102.977,181812,4
What About Us,P!nk,6926,14,10,2017,0.386,0.594,1,-6.186,1,0.0565,0.0254,3.03e-06,0.0873,0.187,113.843,271520,4
Silence,Marshmello,12360,10,9,2017,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,180823,4
Angel,Fifth Harmony,14,87,8,2017,0.738,0.525,1,-6.298,0,0.0371,0.00339,0,0.351,0.13,124.008,189440,4
You Be Love (feat. Billy Raffoul),Avicii,3,98,8,2017,0.826,0.466,4,-7.521,0,0.0425,0.0351,0.0092,0.0833,0.548,124.95,207546,4
Robarte un Beso,Carlos Vives,3334,61,9,2017,0.748,0.884,10,-3.556,1,0.0501,0.0902,0,0.361,0.678,95.046,193159,4
Krippy Kush,Farruko,659,100,8,2017,0.708,0.56,9,-7.132,1,0.129,0.0668,0,0.111,0.411,163.043,230520,4
Friends (with BloodPop®),Justin Bieber,9372,10,9,2017,0.743,0.733,8,-5.337,1,0.0375,0.00402,0,0.304,0.622,104.977,189467,4
Questions,Chris Brown,3025,53,11,2017,0.614,0.598,10,-6.335,0,0.0561,0.00543,0,0.1,0.565,105.803,129478,4
Younger Now,Miley Cyrus,31,70,8,2017,0.551,0.869,9,-5.043,1,0.0606,0.00124,3.03e-05,0.164,0.297,121.91,248782,4
Reggaetón Lento (Remix),CNCO,3074,53,10,2017,0.527,0.907,4,-3.09,0,0.11,0.154,0,0.0993,0.664,93.813,188797,4
I Get The Bag (feat. Migos),Gucci Mane,4055,42,10,2017,0.89,0.633,11,-5.475,1,0.168,0.0232,0.000343,0.0993,0.425,139.948,233087,4
Instruction (feat. Demi Lovato & Stefflon Don),Jax Jones,646,100,8,2017,0.767,0.934,4,-3.057,0,0.195,0.104,0,0.0835,0.895,121.069,165467,4
Rake It Up,Yo Gotti,545,100,8,2017,0.91,0.444,1,-8.126,0,0.344,0.022,0,0.137,0.53,149.953,276333,4
Look What You Made Me Do,Taylor Swift,7651,1,8,2017,0.767,0.671,9,-6.416,0,0.142,0.21,1.12e-05,0.129,0.474,128.072,211859,4
The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,3265,39,8,2017,0.703,0.757,1,-3.612,1,0.05,0.617,0,0.106,0.696,82.008,221747,4
Jocelyn Flores,XXXTENTACION,7341,15,9,2017,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,4
Sauce It Up,Lil Uzi Vert,93,53,8,2017,0.813,0.528,6,-6.305,0,0.313,0.0715,0,0.125,0.131,79.532,207039,4
444+222,Lil Uzi Vert,90,56,8,2017,0.791,0.513,10,-6.568,0,0.269,0.0235,2.83e-05,0.101,0.481,76.997,247347,4
Two®,Lil Uzi Vert,42,59,8,2017,0.266,0.642,7,-5.133,1,0.0694,0.424,0,0.0943,0.0371,75.022,185276,4
Fuck Love (feat. Trippie Redd),XXXTENTACION,2464,100,11,2017,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,4
Everybody Dies In Their Nightmares,XXXTENTACION,871,100,10,2017,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,95467,4
Tell Me You Love Me,Demi Lovato,151,67,8,2017,0.419,0.585,6,-5.435,1,0.0741,0.0258,0,0.143,0.256,72.635,236987,4
For Real,Lil Uzi Vert,28,73,8,2017,0.902,0.673,4,-7.481,1,0.458,0.159,0,0.289,0.615,132.066,177048,4
UnFazed (feat. The Weeknd),Lil Uzi Vert,27,74,8,2017,0.778,0.707,4,-3.606,0,0.0746,0.0459,0,0.111,0.458,126.684,190355,4
X,Lil Uzi Vert,45,75,8,2017,0.623,0.58,8,-7.076,1,0.332,0.0043,0,0.394,0.301,163.159,173798,4
Revenge,XXXTENTACION,238,60,8,2017,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,120027,4
He Like That,Fifth Harmony,23,78,8,2017,0.592,0.681,0,-5.597,1,0.141,0.362,0,0.142,0.491,147.016,217107,4
No Sleep Leak,Lil Uzi Vert,21,80,8,2017,0.788,0.689,8,-7.211,1,0.13,0.0112,0,0.22,0.681,136.045,189230,4
Tú Foto,Ozuna,1100,100,10,2017,0.748,0.565,7,-5.895,1,0.0476,0.164,0.00169,0.103,0.812,175.92,193227,4
Depression & Obsession,XXXTENTACION,107,73,8,2017,0.769,0.156,11,-10.7,0,0.035,0.585,0.015,0.102,0.527,105.95,144733,4
Save Me,XXXTENTACION,38,87,8,2017,0.731,0.204,9,-11.314,0,0.0369,0.307,0.0109,0.0989,0.191,142.141,163202,4
Carry On,XXXTENTACION,40,87,8,2017,0.735,0.197,3,-13.378,0,0.537,0.768,0.000276,0.296,0.383,147.899,129720,4
Báilame - Remix,Nacho,4076,100,8,2017,0.791,0.866,6,-4.236,1,0.0497,0.248,5.29e-06,0.0696,0.71,96.011,217080,4
What Lovers Do (feat. SZA),Maroon 5,10925,10,9,2017,0.795,0.608,5,-5.222,0,0.0694,0.0767,2.92e-06,0.0853,0.386,110.001,199849,4
Roll In Peace (feat. XXXTENTACION),Kodak Black,901,100,8,2017,0.747,0.524,10,-6.807,0,0.245,0.0306,0,0.2,0.363,140.053,213132,4
If I'm Lucky,Jason Derulo,534,100,9,2017,0.897,0.634,4,-6.264,0,0.161,0.00413,0,0.0686,0.506,112.048,212014,4
Bella y Sensual,Romeo Santos,15,95,9,2017,0.635,0.713,11,-6.909,1,0.0937,0.228,0,0.0506,0.749,179.864,204701,4
...Ready For It?,Taylor Swift,2698,10,9,2017,0.616,0.77,2,-6.5,1,0.142,0.0573,0,0.159,0.412,160.049,208198,4
Dusk Till Dawn - Radio Edit,ZAYN,10419,10,9,2017,0.258,0.437,11,-6.593,0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,239000,4
Too Good At Goodbyes - Edit,Sam Smith,5241,1,9,2017,0.653,0.378,5,-8.273,1,0.0533,0.658,0,0.177,0.54,91.835,201000,4
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,7467,14,11,2017,0.659,0.717,8,-4.202,1,0.0581,0.0393,0,0.0769,0.71,103.036,174800,4
Se Preparó,Ozuna,6192,27,11,2017,0.739,0.821,1,-4.233,1,0.0852,0.222,9.6e-06,0.311,0.693,171.077,188080,4
Too Good At Goodbyes,Sam Smith,5639,10,12,2017,0.515,0.378,5,-8.264,1,0.065,0.618,0,0.172,0.536,91.883,201000,4
Que Va,Alex Sensation,3393,100,9,2017,0.771,0.835,0,-3.388,1,0.0507,0.13,0,0.0601,0.817,91.012,238160,4
Unforgettable,Thomas Rhett,2,99,9,2017,0.663,0.738,7,-5.48,1,0.0303,0.032,0.000225,0.0856,0.825,130.02,157080,4
rockstar,Post Malone,10776,1,9,2017,0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,218320,4
Too Much To Ask,Niall Horan,3777,29,10,2017,0.508,0.534,0,-6.522,1,0.0376,0.366,0,0.126,0.222,153.61,223044,4
"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde,2165,52,10,2017,0.781,0.548,0,-4.997,0,0.0764,0.229,0,0.127,0.175,106.996,214255,4
Curve (feat. The Weeknd),Gucci Mane,73,68,9,2017,0.76,0.476,8,-8.103,1,0.241,0.294,0,0.1,0.354,147.01,161990,4
El Farsante,Ozuna,12,100,10,2017,0.735,0.703,6,-4.249,1,0.0611,0.2,0,0.259,0.323,120.007,233827,4
DNA,BTS,727,41,9,2017,0.598,0.775,1,-4.035,0,0.0545,0.022,0,0.0677,0.687,129.819,223123,4
Best Of Me,BTS,77,66,9,2017,0.651,0.756,8,-4.388,1,0.0762,0.0298,0,0.396,0.473,121.96,227191,4
dimple,BTS,38,79,9,2017,0.612,0.844,5,-4.694,0,0.0756,0.142,0,0.287,0.653,134.868,196776,4
Pied Piper,BTS,18,86,9,2017,0.583,0.712,2,-4.942,0,0.0326,0.2,0,0.268,0.776,94.051,245621,4
Intro: Serendipity,BTS,21,88,9,2017,0.476,0.581,8,-8.795,1,0.12,0.523,0,0.201,0.282,129.568,139972,4
MIC Drop,BTS,3,98,9,2017,0.667,0.889,6,-4.851,1,0.0918,0.00912,0,0.0816,0.541,169.959,238193,4
Good Old Days (feat. Kesha),Macklemore,2137,51,10,2017,0.712,0.51,8,-8.162,1,0.0633,0.446,2.46e-05,0.112,0.268,122.964,240507,4
Stargazing,Kygo,6810,15,11,2017,0.677,0.497,5,-5.763,1,0.0809,0.152,0,0.0911,0.419,99.137,236853,4
A Different Way (with Lauv),DJ Snake,1359,100,12,2017,0.781,0.765,8,-4.092,1,0.0385,0.534,0,0.152,0.564,104.987,198286,4
Criminal,Natti Natasha,6317,18,11,2017,0.816,0.806,2,-3.023,0,0.0563,0.0347,9.01e-05,0.255,0.822,79.987,232550,4
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,4798,100,12,2017,0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,163870,4
Gucci Gang,Lil Pump,7826,10,11,2017,0.95,0.533,5,-7.022,1,0.148,0.247,0,0.114,0.675,119.869,124056,4
I Fall Apart,Post Malone,7960,10,10,2017,0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,223347,4
Go Flex,Post Malone,1493,100,11,2017,0.665,0.498,5,-8.185,1,0.0831,0.228,0,0.0757,0.127,81.967,179613,4
Mi Gente (feat. Beyoncé),J Balvin,4482,13,9,2017,0.705,0.714,11,-6.39,0,0.0792,0.0249,0,0.253,0.434,104.996,209733,4
Suena El Dembow,Joey Montana,1829,59,11,2017,0.688,0.859,0,-4.447,1,0.0609,0.186,0,0.121,0.695,92.042,195813,4
Bad At Love,Halsey,1951,100,10,2017,0.675,0.751,0,-3.539,1,0.0296,0.0604,0,0.0893,0.612,118.384,181279,4
Free Fallin',Tom Petty,50,51,10,2017,0.63,0.449,5,-13.243,1,0.0252,0.219,0,0.0622,0.623,84.378,256000,4
Runnin' Down A Dream,Tom Petty,25,76,10,2017,0.453,0.871,9,-12.004,1,0.0345,0.000451,0.298,0.43,0.748,170.011,262373,4
I Won't Back Down,Tom Petty,19,82,10,2017,0.783,0.502,7,-13.395,1,0.0325,0.0512,3.15e-06,0.156,0.962,114.02,178360,4
American Girl,Tom Petty and the Heartbreakers,17,84,10,2017,0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,214733,4
Pray,Sam Smith,1791,21,11,2017,0.381,0.379,4,-9.36,0,0.0501,0.292,2.79e-06,0.0864,0.153,175.067,221596,3
How Long,Charlie Puth,6293,15,11,2017,0.849,0.581,1,-5.243,0,0.0767,0.189,3.61e-06,0.0805,0.779,110.008,198237,4
Help Me Out (with Julia Michaels),Maroon 5,135,73,10,2017,0.938,0.549,11,-4.884,1,0.067,0.479,3.92e-05,0.101,0.52,115.036,193604,4
Let You Down,NF,7394,10,10,2017,0.659,0.716,5,-5.673,0,0.111,0.33,0,0.173,0.437,148.015,212120,4
Explícale (feat. Bad Bunny),Yandel,32,100,10,2017,0.808,0.69,1,-4.151,1,0.148,0.0583,0,0.103,0.64,125.086,223147,4
Plain Jane,A$AP Ferg,3325,33,11,2017,0.797,0.844,11,-5.482,1,0.275,0.0651,0,0.087,0.52,170.142,173600,4
White Iverson,Post Malone,25,100,10,2017,0.675,0.562,7,-7.678,1,0.0352,0.233,0,0.0816,0.309,130.098,256533,4
Perro Fiel (feat. Nicky Jam),Shakira,3479,100,10,2017,0.75,0.76,1,-4.836,1,0.198,0.187,0,0.0548,0.893,183.817,195213,4
Revenge,P!nk,22,79,10,2017,0.725,0.749,10,-7.474,0,0.356,0.0452,0,0.175,0.761,87.03,226160,4
Is That For Me,Alesso,21,80,10,2017,0.761,0.785,8,-5.502,1,0.0505,0.234,0.237,0.0573,0.58,104.992,169270,4
Feels Great (feat. Fetty Wap & CVBZ),Cheat Codes,8,93,10,2017,0.522,0.833,0,-3.715,1,0.0575,0.0454,0,0.127,0.296,180.009,193569,4
Gorgeous,Taylor Swift,989,11,10,2017,0.794,0.537,7,-6.865,1,0.169,0.079,4.98e-06,0.227,0.418,92.022,209680,4
Kids in Love,Kygo,291,100,10,2017,0.497,0.67,0,-4.509,1,0.0348,0.435,1.25e-06,0.389,0.236,121.826,262458,4
Bedroom Floor,Liam Payne,448,55,10,2017,0.678,0.679,1,-7.093,1,0.0644,0.301,0.000136,0.112,0.218,119.977,188346,4
Patek Water,Future,109,69,10,2017,0.86,0.561,6,-5.757,0,0.185,0.274,0,0.108,0.354,152.984,189480,4
Whiskey (feat. A$AP Rocky),Maroon 5,19,82,10,2017,0.597,0.41,7,-8.293,0,0.074,0.723,0,0.106,0.0736,103.666,210422,4
Anywhere,Rita Ora,2258,100,10,2017,0.628,0.797,11,-3.953,0,0.0596,0.0364,0,0.104,0.321,106.93,215064,4
On The Loose,Niall Horan,2,99,10,2017,0.721,0.613,11,-7.051,0,0.0332,0.00745,2.55e-06,0.125,0.665,124.012,223814,4
Vuelve,Daddy Yankee,854,100,12,2017,0.73,0.538,1,-5.612,1,0.0319,0.188,0,0.123,0.215,130.023,279613,4
Was Du Liebe nennst,Bausa,29,100,10,2017,0.874,0.487,2,-8.154,1,0.0641,0.393,2.96e-05,0.0524,0.746,144.956,203630,4
No Limit,G-Eazy,3877,100,10,2017,0.838,0.771,1,-3.791,1,0.244,0.0117,0,0.0853,0.405,175.957,245387,4
Candy Paint,Post Malone,4039,16,12,2017,0.765,0.688,4,-5.566,1,0.0841,0.633,0,0.0734,0.434,90.013,229573,4
Wolves,Selena Gomez,6416,13,10,2017,0.72,0.807,11,-4.59,0,0.0432,0.129,0,0.183,0.305,124.946,197993,4
I Miss You (feat. Julia Michaels),Clean Bandit,3794,20,12,2017,0.638,0.658,3,-6.318,1,0.0456,0.245,3.77e-06,0.0919,0.33,105.076,205748,4
MotorSport,Migos,3182,30,11,2017,0.901,0.529,2,-4.443,1,0.191,0.0519,0,0.179,0.146,138.003,307660,4
Burning,Sam Smith,277,51,11,2017,0.493,0.221,6,-9.301,1,0.0486,0.874,0,0.285,0.353,82.273,203290,4
Man's Not Hot,Big Shaq,3244,100,10,2017,0.895,0.885,0,-4.182,1,0.268,0.11,4.04e-05,0.106,0.633,134.973,186027,4
Ghostface Killers,21 Savage,1524,100,12,2017,0.782,0.436,2,-7.033,1,0.155,0.331,1.3e-05,0.342,0.243,82.994,268933,4
Thriller,Michael Jackson,57,44,10,2017,0.773,0.859,11,-4.913,1,0.0747,0.0855,0.00018,0.914,0.813,118.458,357267,4
Ghostbusters,"Ray Parker, Jr.",49,52,10,2017,0.779,0.717,6,-9.7,0,0.0335,0.0125,0.0536,0.355,0.789,115.384,240800,4
Ric Flair Drip (& Metro Boomin),Offset,3641,29,12,2017,0.88,0.428,9,-8.28,1,0.206,0.149,5.07e-05,0.114,0.333,100.007,172800,4
Rap Saved Me,21 Savage,137,51,11,2017,0.845,0.399,1,-7.509,1,0.309,0.00525,0.74,0.102,0.148,143.049,257600,4
My Choppa Hate Niggas,21 Savage,57,76,11,2017,0.862,0.274,0,-5.818,0,0.484,0.0974,0.185,0.183,0.146,77.493,148640,4
Nightmare,Offset,29,86,10,2017,0.739,0.405,0,-10.897,1,0.0852,0.442,0.211,0.158,0.127,157.09,147987,4
Disrespectful,21 Savage,22,88,11,2017,0.799,0.381,1,-7.147,1,0.464,0.354,3.12e-06,0.135,0.0488,158.021,160320,4
Mad Stalkers,21 Savage,12,95,10,2017,0.9,0.365,10,-6.395,0,0.235,0.147,0.185,0.179,0.136,135.003,202667,4
What Lovers Do,Maroon 5,96,5,11,2017,0.799,0.604,5,-5.134,0,0.0634,0.0949,5.33e-06,0.124,0.405,109.999,199853,4
All Falls Down (feat. Juliander),Alan Walker,1748,52,11,2017,0.658,0.678,1,-4.407,1,0.058,0.303,0,0.361,0.662,97.976,199111,4
Call It What You Want,Taylor Swift,334,37,11,2017,0.599,0.508,9,-9.894,1,0.105,0.193,0.000177,0.329,0.269,163.957,203507,4
Wait,Maroon 5,597,100,11,2017,0.648,0.608,8,-5.16,1,0.0587,0.0835,0,0.105,0.488,126.12,190643,4
Lemon,N.E.R.D,56,100,11,2017,0.919,0.73,1,-6.581,1,0.088,0.00194,8.51e-05,0.101,0.189,95.044,219880,4
One Last Song,Sam Smith,197,55,11,2017,0.667,0.523,1,-6.439,1,0.0281,0.4,0,0.334,0.434,103.481,192922,3
Say It First,Sam Smith,115,71,11,2017,0.549,0.404,0,-10.214,1,0.105,0.757,0.000176,0.114,0.148,119.726,247555,4
Dirty Sexy Money (feat. Charli XCX & French Montana),David Guetta,25,100,11,2017,0.721,0.873,1,-4.741,1,0.119,0.0789,0,0.0824,0.552,79.943,172687,4
Nothing Left For You,Sam Smith,10,91,11,2017,0.511,0.301,10,-8.608,1,0.0473,0.614,0,0.137,0.213,126.267,226731,4
Midnight Train,Sam Smith,15,94,11,2017,0.722,0.615,4,-7.098,1,0.0723,0.336,3.96e-05,0.185,0.392,95.967,207164,4
Sensualidad,Bad Bunny,3860,19,12,2017,0.807,0.681,11,-6.268,1,0.0983,0.423,0,0.0962,0.676,140.006,297485,4
No Peace,Sam Smith,5,96,11,2017,0.659,0.54,4,-8.065,0,0.077,0.35,2.84e-06,0.119,0.139,135.655,283295,4
Walk On Water (feat. Beyoncé),Eminem,2151,11,11,2017,0.49,0.598,9,-4.814,0,0.186,0.801,0,0.576,0.61,84.004,303781,4
Tip Toe (feat. French Montana),Jason Derulo,1289,55,12,2017,0.845,0.709,10,-4.547,0,0.0714,0.0233,0,0.094,0.62,98.062,187521,4
Wanted You (feat. Lil Uzi Vert),NAV,50,100,11,2017,0.793,0.718,9,-4.966,0,0.0547,0.168,0,0.241,0.649,146.885,228080,4
Save That Shit,Lil Peep,68,63,11,2017,0.534,0.583,2,-8.672,1,0.0288,0.0262,0,0.421,0.145,105.997,231547,4
Betrayed,Lil Xan,972,52,12,2017,0.823,0.419,10,-10.358,0,0.165,0.416,0,0.105,0.277,119.958,187453,4
Échame La Culpa,Luis Fonsi,3976,10,11,2017,0.724,0.895,7,-3.617,1,0.0411,0.0322,0,0.097,0.64,96.022,173720,4
Havana - Remix,Camila Cabello,1715,50,12,2017,0.751,0.579,2,-4.036,1,0.0321,0.398,2.28e-05,0.133,0.349,105.031,199095,4
Get It Right (feat. MØ),Diplo,5,96,11,2017,0.456,0.833,0,-4.242,1,0.0964,0.108,1.71e-05,0.0592,0.261,159.808,172500,4
Corazón,Maluma,2463,17,12,2017,0.871,0.768,4,-5.401,0,0.122,0.283,2.25e-05,0.162,0.765,98.989,184067,4
Benz Truck - гелик,Lil Peep,3,98,11,2017,0.602,0.762,2,-6.149,0,0.0347,0.0498,0.00819,0.121,0.112,92.02,159987,4
All I Want for Christmas Is You,Mariah Carey,3189,1,12,2017,0.335,0.625,7,-7.462,1,0.0386,0.164,0,0.0708,0.346,150.277,241107,4
Downtown,Anitta,2770,19,12,2017,0.775,0.679,4,-4.985,0,0.135,0.18,7.26e-05,0.068,0.619,166.008,193456,4
Homemade Dynamite - REMIX,Lorde,11,100,11,2017,0.542,0.55,0,-5.072,0,0.158,0.261,0,0.157,0.172,106.435,214255,4
Déjala que vuelva (feat. Manuel Turizo),Piso 21,1329,34,12,2017,0.681,0.788,1,-4.323,1,0.0785,0.0482,0,0.0753,0.839,170.019,220117,4
MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,234,100,12,2017,0.613,0.842,10,-4.332,0,0.219,0.0157,0,0.23,0.645,169.917,238726,4
Naked,James Arthur,103,75,11,2017,0.529,0.607,6,-6.781,1,0.0574,0.104,0,0.0631,0.238,101.966,234107,4
Last Christmas,Wham!,2493,10,12,2017,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,262960,4
SUTRA,Sebastian Yatra,24,88,12,2017,0.746,0.745,9,-3.311,1,0.146,0.0474,1.71e-06,0.15,0.828,180.081,203853,4
PICK IT UP (feat. A$AP Rocky),Famous Dex,900,54,12,2017,0.921,0.467,1,-8.443,1,0.119,0.0149,0.000238,0.334,0.287,135.995,191252,4
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,677,100,12,2017,0.653,0.718,3,-5.232,0,0.213,0.00413,0,0.0537,0.216,82.034,202805,4
It's Beginning to Look a Lot Like Christmas,Michael Bublé,1566,15,12,2017,0.35,0.232,4,-11.042,1,0.0331,0.907,9.21e-06,0.292,0.381,93.269,206347,3
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,2844,11,12,2017,0.587,0.299,8,-7.365,1,0.0263,0.779,0,0.123,0.356,94.992,259550,3
Him & I,G-Eazy,1112,14,12,2017,0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,268867,4
So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,979,47,12,2017,0.526,0.52,6,-7.985,0,0.0569,0.435,0,0.197,0.13,149.119,183637,4
Miss You,Louis Tomlinson,25,76,12,2017,0.541,0.69,3,-5.391,1,0.206,0.0216,0,0.257,0.681,180.239,182026,3
Santa Tell Me,Ariana Grande,1351,13,12,2017,0.464,0.63,7,-7.337,1,0.182,0.0464,0,0.295,0.527,132.96,204093,5
Mistletoe,Justin Bieber,856,19,12,2017,0.666,0.543,6,-9.188,0,0.0446,0.511,0,0.0911,0.881,161.947,182947,4
Escápate Conmigo (feat. Ozuna),Wisin,442,71,12,2017,0.744,0.859,11,-3.166,1,0.0795,0.0256,6.27e-05,0.0881,0.787,91.977,232787,4
Do They Know It's Christmas? - 1984 Version,Band Aid,1336,13,12,2017,0.599,0.642,0,-6.936,1,0.0363,0.164,3.33e-05,0.0992,0.349,115.412,222533,4
Rockin' Around The Christmas Tree - Single Version,Brenda Lee,1169,11,12,2017,0.703,0.407,8,-12.155,1,0.0504,0.706,0,0.45,0.849,140.057,125827,4
It's the Most Wonderful Time of the Year,Andy Williams,1012,10,12,2017,0.24,0.598,7,-8.435,1,0.037,0.766,0,0.117,0.776,202.082,151933,3
Happy Xmas (War Is Over) - Remastered,John Lennon,792,23,12,2017,0.328,0.607,2,-11.076,1,0.0315,0.319,0,0.765,0.395,146.539,213880,3
Jingle Bell Rock,Anita Kerr Singers,183,59,12,2017,0.741,0.326,2,-12.045,1,0.0395,0.918,0,0.0658,0.751,120.992,130267,4
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,489,15,12,2017,0.603,0.321,2,-11.489,1,0.0599,0.881,0,0.34,0.844,143.104,155600,4
White Christmas,Bing Crosby,562,10,12,2017,0.317,0.158,9,-16.485,1,0.0381,0.673,0.353,0.338,0.247,130.503,177480,3
Driving Home for Christmas,Chris Rea,616,19,12,2017,0.603,0.705,9,-7.547,1,0.0328,0.556,0.000123,0.342,0.89,90.12,239947,4
Feliz Navidad,José Feliciano,381,12,12,2017,0.485,0.857,2,-7.059,1,0.0442,0.534,0,0.347,0.963,148.749,182360,4
Fairytale of New York (feat. Kirsty MacColl),The Pogues,347,18,12,2017,0.319,0.651,2,-6.335,1,0.0342,0.501,4.73e-05,0.241,0.474,118.501,272200,4
Wonderful Christmastime - Remastered 2011 / Edited Version,Paul McCartney,336,100,12,2017,0.774,0.511,11,-8.914,1,0.0319,0.322,0,0.0672,0.771,94.736,227653,4
Never Be the Same - Radio Edit,Camila Cabello,94,42,12,2017,0.652,0.682,0,-4.38,1,0.0788,0.156,0.00013,0.121,0.269,129.942,227077,4
Go Legend (& Metro Boomin),Big Sean,98,55,12,2017,0.649,0.591,1,-8.914,0,0.116,0.014,0,0.188,0.21,150.008,268947,4
Untouchable,Eminem,162,34,12,2017,0.553,0.891,7,-3.388,1,0.505,0.0785,0,0.133,0.627,171.738,370133,4
Real Friends,Camila Cabello,13,100,12,2017,0.74,0.303,3,-8.612,1,0.117,0.835,0,0.0782,0.819,91.958,213933,4
The Christmas Song (Merry Christmas To You),Nat King Cole,239,100,12,2017,0.31,0.095,1,-17.828,1,0.0366,0.904,3.43e-05,0.128,0.188,72.76,190973,4
Have Yourself A Merry Little Christmas,Sam Smith,212,100,12,2017,0.426,0.177,5,-9.429,1,0.0436,0.954,0,0.317,0.317,133.483,170964,1
Never Be the Same,Camila Cabello,880,38,12,2017,0.643,0.709,0,-4.343,1,0.0733,0.145,0.000449,0.115,0.264,129.961,227088,4
